"name","gender","age","measurements","height","profile_view","status","orientation","subscribe","video_view","rank","weight","info_text","verified"
"Melody Bush",NA,NA,NA,NA,NA,NA,NA,NA,"261",13337,NA,"",0
"Nicolette Lars",NA,NA,NA,NA,NA,NA,NA,NA,"2,000,542",13046,NA,"",0
"Drew Deveaux",NA,NA,NA,"Height:
							5 ft 9 in (175 cm)",NA,NA,NA,NA,"14,895",12718,"Weight:
							146 lbs (66 kg)","Height:
							5 ft 9 in (175 cm),Weight:
							146 lbs (66 kg)",0
"Violet Demarco",NA,NA,NA,NA,NA,NA,NA,NA,"28,214",14002,NA,"",0
"Goddess Janira Wolfe","Gender:
							Female","Aug 26, 1988","Measurements:
								34A-25-34","Height:
								5 ft 6 in (168 cm)","Pornstar Profile Views:
								1,222","Career Status:
							Active
                        ","Interested in:
							Guys","
        4.5K        ","
        952K        ",12548,"Weight:
								115 lbs (52 kg)","Gender:
							Female,Birthday:
							Aug 26, 1988,Age:
							30,Measurements:
								34A-25-34,Height:
								5 ft 6 in (168 cm),Weight:
								115 lbs (52 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Brunette,Tattoos:
							Yes,Interests and hobbies:
								Dominating men and making hot fetish videos,Relationship status:
							Single,Interested in:
							Guys,City and Country:
							Los Angeles, US,Pornstar Profile Views:
								1,222,Career Status:
							Active
                        ,Career Start and End:
							
								2015 to
								Present							
						,Profile Views:
                                43,565,Videos Watched:
                                65,Joined:
                                11 months ago",1
"Marcella Guerra",NA,NA,NA,NA,NA,NA,NA,NA,"33",11736,NA,"",0
"Nefertiti Dior",NA,NA,NA,NA,NA,NA,NA,NA,"40,381",13502,NA,"",0
"Giselle Royalle",NA,NA,NA,NA,NA,NA,NA,NA,"1,331",12974,NA,"",0
"Bootyliscious",NA,NA,NA,"Height:
							5 ft 6 in (168 cm)",NA,NA,NA,NA,"364,338",10270,"Weight:
							170 lbs (77 kg)","Birthplace:
							Los Angeles, California, United States of America,Height:
							5 ft 6 in (168 cm),Weight:
							170 lbs (77 kg)",0
"March Momoiro",NA,NA,NA,NA,NA,NA,NA,NA,"10,334",14307,NA,"",0
"Vivica Charms",NA,NA,NA,NA,NA,NA,NA,NA,"7,686",12542,NA,"",0
"Gabriela Glazer",NA,NA,NA,NA,NA,NA,NA,NA,"74,293",11827,NA,"",0
"Harley Stevens",NA,NA,NA,NA,NA,NA,NA,NA,"6,629",14825,NA,"",0
"Petty Pol",NA,NA,NA,NA,NA,NA,NA,NA,"1,978,129",10744,NA,"",0
"Carla Ferrari",NA,NA,NA,NA,NA,NA,NA,NA,"3,261",12647,NA,"Born:
							1964-08-19,Birthplace:
							United States of America",0
"Terran Hayes",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"106,010",14364,"Weight:
							134 lbs (61 kg)","Born:
							1982-05-26,Birthplace:
							Laguna Beach, California, United States of America,Height:
							5 ft 4 in (163 cm),Weight:
							134 lbs (61 kg)",0
"Keana Moire",NA,NA,NA,"Height:
							5 ft 8 in (173 cm)",NA,NA,NA,NA,"670,800",10795,"Weight:
							121 lbs (55 kg)","Born:
							1983-12-06,Birthplace:
							Prague, Czech Republic,Height:
							5 ft 8 in (173 cm),Weight:
							121 lbs (55 kg)",0
"Vanessa Wett",NA,NA,NA,"Height:
							5 ft 9 in (175 cm)",NA,NA,NA,NA,"65,114",12572,"Weight:
							150 lbs (68 kg)","Birthplace:
							Texas, United States of America,Height:
							5 ft 9 in (175 cm),Weight:
							150 lbs (68 kg)",0
"Vee Silva",NA,NA,NA,NA,NA,NA,NA,NA,"49,436",12773,NA,"",0
"Nadia Blu",NA,NA,NA,NA,NA,NA,NA,NA,"1,040",13480,NA,"",0
"Kelton",NA,NA,NA,NA,NA,NA,NA,NA,"71",12019,NA,"",0
"Aya Seto",NA,NA,NA,NA,NA,NA,NA,NA,"41,368",12183,NA,"Birthplace:
							Japan",0
"Nomi Sunshyne",NA,NA,NA,NA,NA,NA,NA,NA,"1,621",13597,NA,"",0
"Tifany Sabina",NA,NA,NA,"Height:
							5 ft 8 in (173 cm)",NA,NA,NA,NA,"132",14224,NA,"Birthplace:
							Czech Republic,Height:
							5 ft 8 in (173 cm)",0
"Adelis Shaman","Gender:
							Female","May 29, 1982","Measurements:
								--",NA,"Pornstar Profile Views:
								18","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        11        ","
        475        ",13193,NA,"Gender:
							Female,Birthday:
							May 29, 1982,Age:
							36,Measurements:
								--,Relationship status:
							Single,Interested in:
							Guys and Girls,City and Country:
							Krasnodar, RU,Pornstar Profile Views:
								18,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                357,Videos Watched:
                                3,Joined:
                                9 months ago",1
"Mya Curlz",NA,NA,NA,"Height:
							5 ft 5 in (165 cm)",NA,NA,NA,NA,"13,675",14765,"Weight:
							280 lbs (127 kg)","Born:
							1991-02-17,Birthplace:
							Amarillo, Texas, United States of America,Height:
							5 ft 5 in (165 cm),Weight:
							280 lbs (127 kg),Website:
							Official Site",0
"Brownii Treatz",NA,NA,NA,NA,NA,NA,NA,NA,"165,158",14217,NA,"",0
"Baby Girl Rosey","Gender:
							Female","Dec 15, 1998","Measurements:
								34C-26-36","Height:
								5 ft 11 in (180 cm)","Pornstar Profile Views:
								2,370","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        2.5K        ","
        55.5K        ",14773,"Weight:
								130 lbs (59 kg)","Gender:
							Female,Birthday:
							Dec 15, 1998,Age:
							19,Measurements:
								34C-26-36,Height:
								5 ft 11 in (180 cm),Weight:
								130 lbs (59 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Blonde,Tattoos:
							Yes,Relationship status:
							Single,Interested in:
							Guys and Girls,City and Country:
							Scottsdale, US,Turn Ons:
								I love being choked,  having my hair pulled,  and doing what im told.,Pornstar Profile Views:
								2,370,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                7,107,Videos Watched:
                                45,Joined:
                                5 months ago",1
"Ruby Von Climax","Gender:
							Female","Jul 6, 1988","Measurements:
								--",NA,"Pornstar Profile Views:
								112","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        2.6K        ","
        141K        ",12997,NA,"Gender:
							Female,Birthday:
							Jul 6, 1988,Age:
							30,Measurements:
								--,Interests and hobbies:
								420. Fitness. Cooking. Laughter. Family. Life,Relationship status:
							Open,Interested in:
							Guys and Girls,Hometown:
							Tucson,City and Country:
							Tucson, US,Turn Ons:
								White Guys. Latin woman. 420. Spankings. Lingerie.,Turn Offs:
								Wimpy People. Fakers. Liars.,Pornstar Profile Views:
								112,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                9,007,Videos Watched:
                                1,118,Joined:
                                1 year ago",1
"Jenna V Diamond","Gender:
							Female","Sep 8, 1985","Measurements:
								--",NA,"Pornstar Profile Views:
								31","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        650        ","
        11.6K        ",12869,NA,"Gender:
							Female,Birthday:
							Sep 8, 1985,Age:
							33,Measurements:
								--,Relationship status:
							Single,Interested in:
							Guys and Girls,City and Country:
							Where ever you want me to be, US,Pornstar Profile Views:
								31,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                1,750,Videos Watched:
                                30,Joined:
                                1 year ago",1
"Atlantis Spark",NA,NA,NA,NA,NA,NA,NA,NA,"304,982",14735,NA,"",0
"Dominique Lashay",NA,NA,NA,NA,NA,NA,NA,NA,"20,587",13951,NA,"",0
"Loree Bishoff",NA,NA,NA,NA,NA,NA,NA,NA,"83,349",14575,NA,"",0
"Pryscila Brandao",NA,NA,NA,NA,NA,NA,NA,NA,"3,225",14347,NA,"",0
"Rikki Mist",NA,NA,NA,NA,NA,NA,NA,NA,"133,501",14666,NA,"",0
"Eris Vespera",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"846",14650,"Weight:
							99 lbs (45 kg)","Birthplace:
							United States of America,Height:
							5 ft 4 in (163 cm),Weight:
							99 lbs (45 kg)",0
"Zuzana Cernotova",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"1,581",14450,NA,"Born:
							1986-12-20,Birthplace:
							Czech Republic,Height:
							5 ft 4 in (163 cm)",0
"Princyany Carvahlo",NA,NA,NA,"Height:
							5 ft 4 in (163 cm)",NA,NA,NA,NA,"1,169,243",14291,"Weight:
							115 lbs (52 kg)","Birthplace:
							Rio de Janeiro, Brazil,Height:
							5 ft 4 in (163 cm),Weight:
							115 lbs (52 kg)",0
"Zaccara",NA,NA,NA,NA,NA,NA,NA,NA,"1,977,949",14101,NA,"",0
"Kokoro Miyauchi",NA,NA,NA,NA,NA,NA,NA,NA,"116,619",14120,NA,"",0
"Angelique Ricard",NA,NA,NA,NA,NA,NA,NA,NA,"16,019",13784,NA,"",0
"Flavia Gaucha",NA,NA,NA,NA,NA,NA,NA,NA,"351",14353,NA,"",0
"Nashita",NA,NA,NA,NA,NA,NA,NA,NA,"5,908",14129,NA,"",0
"Berenice Ocampo",NA,NA,NA,NA,NA,NA,NA,NA,"518",13440,NA,"Birthplace:
							Mexico",0
"Asari Shirahama",NA,NA,NA,NA,NA,NA,NA,NA,"270,215",14150,NA,"",0
"Alliyah Yi",NA,NA,NA,"Height:
							5 ft 0 in (152 cm)",NA,NA,NA,NA,"1,107,079",13254,"Weight:
							110 lbs (50 kg)","Born:
							1977-08-24,Birthplace:
							New York City, New York, United States of America,Height:
							5 ft 0 in (152 cm),Weight:
							110 lbs (50 kg)",0
"Yevonne",NA,NA,NA,NA,NA,NA,NA,NA,"15,401",12229,NA,"",0
"Little Tara","Gender:
							Female","Feb 22, 1998","Measurements:
								--",NA,"Pornstar Profile Views:
								23","Career Status:
							Active
                        ","Interested in:
							Guys","
        3.2K        ","
        53.7K        ",14289,NA,"Gender:
							Female,Birthday:
							Feb 22, 1998,Age:
							20,Measurements:
								--,Interests and hobbies:
								shopping,,Relationship status:
							Single,Interested in:
							Guys,City and Country:
							Cocoa beach, US,Pornstar Profile Views:
								23,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                8,965,Videos Watched:
                                9,Joined:
                                4 years ago",1
"Manais",NA,NA,NA,NA,NA,NA,NA,NA,"159,955",13874,NA,"",0
"Kit Kendal","Gender:
							Female","Apr 11, 1997","Measurements:
								--",NA,"Pornstar Profile Views:
								31","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        599        ","
        72.4K        ",13446,NA,"Gender:
							Female,Birthday:
							Apr 11, 1997,Age:
							21,Measurements:
								--,Relationship status:
							Single,Interested in:
							Guys and Girls,Hometown:
							New Orleans,City and Country:
							New Orleans, US,Pornstar Profile Views:
								31,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                4,745,Videos Watched:
                                77,Joined:
                                8 months ago",1
"Prilla",NA,NA,NA,"Height:
							5 ft 2 in (157 cm)",NA,NA,NA,NA,"6,744",13835,NA,"Height:
							5 ft 2 in (157 cm)",0
"Meara",NA,NA,NA,NA,NA,NA,NA,NA,"29,607",14271,NA,"",0
"Brody Beart",NA,NA,NA,NA,NA,NA,NA,NA,"58,611",14011,NA,"",0
"Kina Kai",NA,NA,NA,"Height:
							5 ft 1 in (155 cm)",NA,NA,NA,NA,"13,193,545",13194,"Weight:
							90 lbs (41 kg)","Born:
							1983-09-02,Birthplace:
							Philippines,Height:
							5 ft 1 in (155 cm),Weight:
							90 lbs (41 kg)",0
"Lielani Okelani",NA,NA,NA,NA,NA,NA,NA,NA,"8,401",13509,NA,"Born:
							1983-11-30",0
"Sheena Mcgrath",NA,NA,NA,NA,NA,NA,NA,NA,"89,711",13701,NA,"",0
"Ctexsins Chelle",NA,NA,NA,"Height:
							5 ft 2 in (157 cm)",NA,NA,NA,NA,"8,046",14003,"Weight:
							146 lbs (66 kg)","Born:
							1970-06-17,Birthplace:
							Fort Lauderdale, Florida, United States of America,Height:
							5 ft 2 in (157 cm),Weight:
							146 lbs (66 kg)",0
"Violette Love","Gender:
							Female","Jan 12, 1966","Measurements:
								34AA-28-36","Height:
								5 ft 3 in (160 cm)","Pornstar Profile Views:
								1,116","Career Status:
							Active
                        ","Interested in:
							Guys","
        1K        ","
        2.9K        ",14094,"Weight:
								114 lbs (52 kg)","Gender:
							Female,Birthday:
							Jan 12, 1966,Age:
							52,Measurements:
								34AA-28-36,Height:
								5 ft 3 in (160 cm),Weight:
								114 lbs (52 kg),Ethnicity:
								Black,Background:
								British,Hair Color:
								Black,Piercings:
							Yes,Relationship status:
							Single,Interested in:
							Guys,Hometown:
							London,City and Country:
							London, GB,Pornstar Profile Views:
								1,116,Career Status:
							Active
                        ,Career Start and End:
							
								2016 to
								Present							
						,Profile Views:
                                2,829,Videos Watched:
                                27,Joined:
                                4 months ago",1
"Tatiana Lemos",NA,NA,NA,NA,NA,NA,NA,NA,"3,584",12076,NA,"Birthplace:
							Brazil",0
"Scarlett Adams","Gender:
							Female","Oct 28, 1988","Measurements:
								--",NA,"Pornstar Profile Views:
								42","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        655        ","
        22.5K        ",12621,NA,"Gender:
							Female,Birthday:
							Oct 28, 1988,Age:
							30,Measurements:
								--,Interests and hobbies:
								My Beautiful Fans :), fucking myself to a blissful oblivion. Also I'm into gaming! I play games like Monster Hunter World, Killing Floor 2, DayZ, GTAV, RimWorld, Planet Coaster, The Sims, The Witcher 3, Fallout, pretty much anything I can get my hands on!  OH AND FUCK FORTNITE! I also like to draw :D,Relationship status:
							Single,Interested in:
							Guys and Girls,City and Country:
							South East, US,Turn Ons:
								Getting new toys from my wishlist to use in new videos! :) I'm really into guys/women that know how to have fun and have a good sense of humor, that are polite, that have a hungry sexual side to them(because I do)! Also hard bodies and hard cocks are a turn on :D Another plus is being able to hold a conversation!,Turn Offs:
								Arrogant/blatantly disrespectful people, people who are oblivious or don't read,close minded individuals(you know who I'm talking about! I'm not going any further with this!), stories/movies with happy endings, the emoji/bee movie, Fortnite, PubG, H1Z1(after it split into two seperate games), the direction The Walking Dead took..., and lastly people who aren't original!,Pornstar Profile Views:
								42,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                2,105,Videos Watched:
                                47,Joined:
                                5 years ago",1
"The Slut Scarlett","Gender:
							Female","Jun 25, 1971","Measurements:
								44DD--","Height:
								5 ft 5 in (165 cm)","Pornstar Profile Views:
								7,075","Career Status:
							Active
                        ","Interested in:
							Guys and Girls","
        2.5K        ","
        296K        ",13581,"Weight:
								179 lbs (81 kg)","Gender:
							Female,Birthday:
							Jun 25, 1971,Age:
							47,Measurements:
								44DD--,Height:
								5 ft 5 in (165 cm),Weight:
								179 lbs (81 kg),Ethnicity:
								White,Background:
								American,Hair Color:
								Brunette,Interests and hobbies:
								Fucking, Sucking, mind blowing sex....and the occasional good book.,Relationship status:
							Open,Interested in:
							Guys and Girls,Hometown:
							McPherson,KS,City and Country:
							Mcpherson, US,Turn Ons:
								Confident strong men, Submissive women, big cocks and big tits.,Turn Offs:
								Men that don't know how to take charge and men with bad hygiene.,Pornstar Profile Views:
								7,075,Career Status:
							Active
                        ,Career Start and End:
							
								 to
								Present							
						,Profile Views:
                                15,453,Videos Watched:
                                680,Joined:
                                9 months ago",1
